Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,A Masterpiece!!,"If I have to say in one word then it'd be MASTERPIECE. It can very well be a classic...a cult classic like Border. This movie doesn't portray blatant Jingoism but strikes the right chords of patriotism with maintaining the right balance. It is so well done that you'd crave for more even if it ends. Everyone performed very well and Vicky Kaushal was stunning. The movie is very inspiring and everyone especially the young generation should watch it to know what the army men do for them. The movie is not political at all but yellow media will try to demean it for 'certain' reasons. I still can't get over the top notch screenplay, direction, background scores, visuals and performances. A straight 9.5/10 (or may be 10/10 if I don't be skeptical) from me.",masterpiece,if i have say one word then itd be masterpiece it can very well be classic cult classic like border this movie doesnt portray blatant jingoism but strikes right chords patriotism with maintaining right balance it is so well done that youd crave more even if it ends everyone performed very well vicky kaushal was stunning movie is very inspiring everyone especially young generation should watch it know what army men do them movie is not political at all but yellow media will try demean it certain reasons i still cant get over top notch screenplay direction background scores visuals performances straight 9 5 10 or may be 10 10 if i dont be skeptical me,0.4633053221288515,0.1805322128851541,Positive,"{'Happy': 0.05, 'Angry': 0.1, 'Surprise': 0.4, 'Sad': 0.05, 'Fear': 0.4}"
10,A perfect tribute our Indian Army,"Watched a wartime movie after long time but I must say this one was the best I saw till date. This movie has a no nonsense plot which is entirely focused on the operation that was conducted for URI. The best part of this movie was there was no unnecessary romantic scene. Another best part of this movie was there was no unnecessary talks, cuss words to show the army's behavior, unlike other movies in past where half of the time is use to convince the audience why the operations are necessary. This is a must watch movie for everyone.",perfect tribute our indian army,watched wartime movie after long time but i must say this one was best i saw till date this movie has no nonsense plot which is entirely focused operation that was conducted uri best part this movie was there was no unnecessary romantic scene another best part this movie was there was no unnecessary talks cuss words show armys behavior unlike other movies past where half time is use convince audience why operations are necessary this is must watch movie everyone,0.5397435897435898,0.292948717948718,Positive,"{'Happy': 0.08, 'Angry': 0.08, 'Surprise': 0.46, 'Sad': 0.15, 'Fear': 0.23}"
8,Best war/military movie from india,No doubt this is the best war/ military movie made in india.,best war military movie india,no doubt this is best war military movie made india,0.19999999999999998,0.44999999999999996,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.25, 'Fear': 0.25}"
10,One of the best war movies ever,"This movie is so real. Direction is superb. Vicky kausal is brilliant in his performance. Script is tightly bound. Music just complements the action, makes it even better.Must watch !!",one best war movies ever,this movie is so real direction is superb vicky kausal is brilliant his performance script is tightly bound music just complements action makes it even better must watch,0.4979591836734694,0.503061224489796,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.2, 'Fear': 0.2}"
10,I've never seen something like this in bollywood,"Hats off to cinematographer , director, script writer for their individual performance rather than only hailing about actors and actresses.This types of movies make india proud, a movie that was waiting to be applauded from us 🙏",ive never seen something like this bollywood,hats off cinematographer director script writer their individual performance rather than only hailing about actors actresses this types movies make india proud movie that was waiting be applauded us,0.7999999999999999,0.26666666666666666,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.29, 'Fear': 0.29}"
3,LAZY SCREENPLAY,Just a movie with exaggorated theme.Oroginality and seriousness of the story is lost somewhere.Sucha wasted potential but they are lucky to get a hit with such bad screenplay and direction.Should have been better,lazy screenplay,just movie with exaggorated theme oroginality seriousness story is lost somewhere sucha wasted potential but they are lucky get hit with such bad screenplay direction should have been better,0.6428571428571429,-0.04523809523809522,Negative,"{'Happy': 0.14, 'Angry': 0.14, 'Surprise': 0.14, 'Sad': 0.43, 'Fear': 0.14}"
4,The spirit was there but not execution,"Well it showed many flaws only the emotional drama was bang on targetParesh Rawal is generally a very good actor but in this film..neither his way of speaking nor his attitude convinced me of his high rank portrayed in this movieA high ranking official of the Army (the lady officer) who is an active member of surgical strike plan...would never be sent to someone home as a nurse.. do you think that is believable?The Garood ..that flying surveillance bird which ..could see everything..but it missed the Pakistani boy approaching the window....If i keep on going i can name another 100 flaws...some tactical terms will like ""handler"" and a few others will not really play the trick to convince the viewer of such a skillful operation...Poor execution and flaws pulled it down",spirit was there but not execution,well it showed many flaws only emotional drama was bang targetparesh rawal is generally very good actor but this film neither his way speaking nor his attitude convinced me his high rank portrayed this moviea high ranking official army lady officer who is active member surgical strike plan would never be sent someone home as nurse do you think that is believable garood that flying surveillance bird which could see everything but it missed pakistani boy approaching window if i keep going i can name another 100 flaws some tactical terms will like handler few others will not really play trick convince viewer such skillful operation poor execution flaws pulled it down,0.5132592592592592,0.029407407407407393,Positive,"{'Happy': 0.05, 'Angry': 0.05, 'Surprise': 0.2, 'Sad': 0.3, 'Fear': 0.4}"
9,Excellent Movie... Well made,The movie was very gripping from the very start. Excellent all round acting especially by Vicky Kaushal. The VFX effects were better then most that we have seen recently.Good watch,excellent movie well made,movie was very gripping very start excellent all round acting especially by vicky kaushal vfx effects were better then most that we have seen recently good watch,0.6299999999999999,0.43499999999999994,Positive,"{'Happy': 0.43, 'Angry': 0.0, 'Surprise': 0.43, 'Sad': 0.14, 'Fear': 0.0}"
10,Excellent movie,Excellent movie loved it this is the first Indian movie that represents modern Indian Army Aditya dhar done a great job by showing our modern army and special forces and their tactics and operations to civilians my rating is 10/10🇮🇳,excellent movie,excellent movie loved it this is first indian movie that represents modern indian army aditya dhar done great job by showing our modern army special forces their tactics operations civilians my rating is 10 10,0.6318452380952381,0.5633928571428571,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.0, 'Fear': 0.25}"
10,138 minutes of sheer brilliance!,"URI:THE SURGICAL STRIKE is not only one of the best indian war films but one of the best international war films ever made. Debutante Aditya Dhar has done an amazing job with his direction. Mitish Mirchandanis amazing cinematography, stellar vfx (the vfx is mind blowing) and an absolute intergalactic background score and music. All the actors in the film have potrayed and amazing job. A great start to 2019 with URI. DEFINITELY A MUST WATCH.",138 minutes sheer brilliance,uri surgical strike is not only one best indian war films but one best international war films ever made debutante aditya dhar has done amazing job with his direction mitish mirchandanis amazing cinematography stellar vfx vfx is mind blowing absolute intergalactic background score music all actors film have potrayed amazing job great start 2019 with uri definitely must watch,0.6208333333333333,0.42083333333333334,Positive,"{'Happy': 0.06, 'Angry': 0.06, 'Surprise': 0.56, 'Sad': 0.06, 'Fear': 0.28}"
