Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8.0,They have done it again!,"Me being a Sri Lankan and yet who is in love with Malayalam cinema is due to movies like this. Plot, Acting, Music, Direction... What ever the category, this movie perfects them all.I've seen Joju before but not like this. He catches every moment perfectly.Among the reasons I love this cinema is how each character is crafted and handled carefully. And here there's no exception. Cast supports it perfectly. Specially Dileesh. Love him always.And then the voice of Yesudas. Every time it's giving a shocking vibrance all together.Yes. Malayalis have done it again.",they have done it again,me being sri lankan yet who is love with malayalam cinema is due movies like this plot acting music direction what ever category this movie perfects them all ive seen joju before but not like this he catches every moment perfectly among reasons i love this cinema is how each character is crafted handled carefully here theres no exception cast supports it perfectly specially dileesh love him always then voice yesudas every time its giving shocking vibrance all together yes malayalis have done it again,0.6384920634920634,0.18134920634920634,Positive,"{'Happy': 0.21, 'Angry': 0.07, 'Surprise': 0.14, 'Sad': 0.29, 'Fear': 0.29}"
10.0,#DARK THRILLER,"I saw this movie today and still i cant get over the hangover of this movie.First of all the movie is a slow burner but once it starts to burn it burns like an volcano,its a great dark thriller with nice twists and lots of emotions.Words cant describe how much i enjoyed this movie and Jojus acting was breath taking he is surely an under rated actor i hope he gets more such good roles in his career . Movie also deals with a social relevant scam .you would not regret watching this movie on theater .",thriller,i saw this movie today still i cant get over hangover this movie first all movie is slow burner but once it starts burn it burns like volcano its great dark thriller with nice twists lots emotions words cant describe how much i enjoyed this movie jojus acting was breath taking he is surely under rated actor i hope he gets more such good roles his career movie also deals with social relevant scam you would not regret watching this movie theater,0.5414529914529914,0.2948717948717949,Positive,"{'Happy': 0.22, 'Angry': 0.06, 'Surprise': 0.28, 'Sad': 0.28, 'Fear': 0.17}"
7.0,Joseph is a surprise.,"When Joseph was announced and when posters released, we expected it to be a good movie. We saw Joju George in a very different avatar in poster and teaser. The thing is, Joseph is not just a good movie. It is one of the best movies of the year and one of the best thriller in recent times. Watch Joseph as almost all technical side and performance is brilliant except the main lead actresses.",joseph is surprise,when joseph was announced when posters released we expected it be good movie we saw joju george very different avatar poster teaser thing is joseph is not just good movie it is one best movies year one best thriller recent times watch joseph as almost all technical side performance is brilliant except main lead actresses,0.4663333333333333,0.4366666666666667,Positive,"{'Happy': 0.4, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.1}"
10.0,An unusual thriller,"Good direction, good acting, good music and an equally good story and screenplay. An unusual thriller which doesn't follow the normal routine clichés associated with thriller movies and holds its grip until the final moments. A very well made movie.",unusual thriller,good direction good acting good music equally good story screenplay unusual thriller which doesnt follow normal routine clich s associated with thriller movies holds its grip until final moments very well made movie,0.635,0.35500000000000004,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.25, 'Fear': 0.25}"
8.0,An actor is born !,Nothing more just grab your tickets and watch it guys. Joju was burning inside with an outer ease !,actor is born,nothing more just grab your tickets watch it guys joju was burning inside with outer ease,0.5,0.5,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.5, 'Fear': 0.25}"
10.0,Silent thriller,Best thrilles movie . I love this movie . Joju acting was perfect 1,silent thriller,best thrilles movie i love this movie joju acting was perfect 1,0.4,0.5,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.25, 'Fear': 0.0}"
8.0,Emotionally appealing,"Movie opens with a medal awarding ceremony at a police parade. Then there is the falshback portraying the protagonist's life. Joseph, played by Joju George, is a retired police officer leading a life of solitude. He is an alcoholic and a chain smoker, yet he is a living image of ' Sherlock Holmes' due to his impeccable ability to understand and solve crimes. Due to that he is often an unofficial part of most difficult cases post his retirement. The first half of the movie largely revolves around the tragic life of the protagonist and the evolution of his character. Joju George shines throughout the movie with his exceptional acting ability, especially during emotional scenes. He makes us forget that he is actually the Joju George who played all those witty comic roles. Kudos to him. That said the supporting characters were also brilliant. The director makes the tragic life of the protagonist more appealing by adding an element of melodramatic music every once in a while which actually compliments the context of the film. The second half of the movie deals with the death of Joseph's ex-wife and him investigating the death. The crime investigation in the second part isn't anything overwhelmingly brilliant. It relies on an implausible coincidence. Yet the story manages to convey some socially relevant message to the audience. But personally I thought the second half of the movie was a little down as compared to the first half. Everything said the movie was a great experience. The cinematography was out of the world. The music was good. Also we get to see how capable an actor Joju George is. Being a largely male centered film, the portrayal of female characters were a little weak but that doesn't affect the movie in any way. The movie is really worth a watch. Hope it does well at the box office.",emotionally appealing,movie opens with medal awarding ceremony at police parade then there is falshback portraying protagonists life joseph played by joju george is retired police officer leading life solitude he is alcoholic chain smoker yet he is living image sherlock holmes due his impeccable ability understand solve crimes due that he is often unofficial part most difficult cases post his retirement first half movie largely revolves around tragic life protagonist evolution his character joju george shines throughout movie with his exceptional acting ability especially during emotional scenes he makes us forget that he is actually joju george who played all those witty comic roles kudos him that said supporting characters were also brilliant director makes tragic life protagonist more appealing by adding element melodramatic music every once while which actually compliments context film second half movie deals with death josephs ex wife him investigating death crime investigation second part isnt anything overwhelmingly brilliant it relies implausible coincidence yet story manages convey some socially relevant message audience but personally i thought second half movie was little down as compared first half everything said movie was great experience cinematography was out world music was good also we get see how capable actor joju george is being largely male centered film portrayal female characters were little weak but that doesnt affect movie any way movie is really worth watch hope it does well at box office,0.45168430335097004,0.11130511463844799,Positive,"{'Happy': 0.1, 'Angry': 0.02, 'Surprise': 0.23, 'Sad': 0.27, 'Fear': 0.38}"
,An 'observe' thriller,"Joseph was wonderfully wrote, directed and presented. This is the simplest form that I am able to express my views about this movie. Malayalam films are stood apart from thrilling plots and it's just minute numbers of films had that quality somehow through Drishyam, Abrahaminte Snathathikal etc. but this one was really just fine in portraying a trilling subject undo a public relevant depiction. Joju George was exceptionally locked into Joseph throughout the movie and he matured from the way that we know about him earlier. Joseph's observation and analysis are the key factors that gone along with the plot and that observation was the basic thing lead the film into an important subject.",observe thriller,joseph was wonderfully wrote directed presented this is simplest form that i am able express my views about this movie malayalam films are stood apart thrilling plots its just minute numbers films had that quality somehow through drishyam abrahaminte snathathikal etc but this one was really just fine portraying trilling subject undo public relevant depiction joju george was exceptionally locked into joseph throughout movie he matured way that we know about him earlier josephs observation analysis are key factors that gone along with plot that observation was basic thing lead film into important subject,0.6130952380952381,0.25,Positive,"{'Happy': 0.13, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.13, 'Fear': 0.33}"
10.0,Perfect thriller !,Good theme. The film shows unknown truth now a days happening in our society. Good direction and off course joju George's acting superb very talented actor.,perfect thriller,good theme film shows unknown truth now days happening our society good direction off course joju georges acting superb very talented actor,0.6857142857142858,0.6014285714285714,Positive,"{'Happy': 0.67, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.17, 'Fear': 0.17}"
8.0,Joju's one man show,"Joseph is a one man show of joju george who despite not being a superstar carries the whole film on his shoulders. He proves that he has to stay in this business. A decent plot, surprisingly good and standard direction from padmakumar by telling a social evil along with joju's performance makes Joseph an interesting watch. But it's narration is slow and supporting characters are not given due importance. On the whole, joseph is a pretty good investigation thriller.",jojus one man show,joseph is one man show joju george who despite not being superstar carries whole film his shoulders he proves that he has stay this business decent plot surprisingly good standard direction padmakumar by telling social evil along with jojus performance makes joseph interesting watch but its narration is slow supporting characters are not given due importance whole joseph is pretty good investigation thriller,0.4470238095238095,0.13392857142857142,Positive,"{'Happy': 0.22, 'Angry': 0.11, 'Surprise': 0.17, 'Sad': 0.11, 'Fear': 0.39}"
